Date,Symbol,Close,Volume
2024-02-16,VLTO,86.09,1486200.0
2024-02-20,VLTO,85.77,1534400.0
2024-02-21,VLTO,85.36,869100.0
2024-02-22,VLTO,85.94,1006600.0
2024-02-23,VLTO,86.71,1152700.0
2024-02-26,VLTO,86.31,893800.0
2024-02-27,VLTO,87.79,1836600.0
2024-02-28,VLTO,87.57,1064500.0
2024-02-29,VLTO,86.42,2953400.0
2024-03-01,VLTO,86.76,816800.0
2024-03-04,VLTO,87.74,1522800.0
2024-03-05,VLTO,88.5,1683500.0
2024-03-06,VLTO,88.87,1298400.0
2024-03-07,VLTO,89.32,934500.0
2024-03-08,VLTO,89.26,698900.0
2024-03-11,VLTO,88.76,1085500.0
2024-03-12,VLTO,88.43,1316800.0
2024-03-13,VLTO,89.1,1281100.0
2024-03-14,VLTO,88.23,1124700.0
2024-03-15,VLTO,86.5,5058400.0
2024-03-18,VLTO,87.03,2674800.0
2024-03-19,VLTO,87.44,1697500.0
2024-03-20,VLTO,88.12,1736100.0
2024-03-21,VLTO,89.9,1733500.0
2024-03-22,VLTO,89.46,1495400.0
2024-03-25,VLTO,89.4,1350800.0
2024-03-26,VLTO,89.26,1518800.0
2024-03-27,VLTO,89.74,1395700.0
2024-03-28,VLTO,88.66,1546500.0
2024-04-01,VLTO,87.54,1172600.0
2024-04-02,VLTO,86.58,1424200.0
2024-04-03,VLTO,87.25,3038000.0
2024-04-04,VLTO,86.69,1543300.0
2024-04-05,VLTO,87.09,1993800.0
2024-04-08,VLTO,87.67,923800.0
2024-04-09,VLTO,89.2,1215100.0
2024-04-10,VLTO,88.2,1142500.0
2024-04-11,VLTO,87.41,1241000.0
2024-04-12,VLTO,87.37,1299000.0
2024-04-15,VLTO,89.86,2158300.0
2024-04-16,VLTO,90.89,2097700.0
2024-04-17,VLTO,90.55,2265100.0
2024-04-18,VLTO,88.8,2378100.0
2024-04-19,VLTO,88.89,5196800.0
2024-04-22,VLTO,91.23,1995500.0
2024-04-23,VLTO,93.72,2554700.0
2024-04-24,VLTO,92.4,3370000.0
2024-04-25,VLTO,93.79,1921400.0
2024-04-26,VLTO,94.12,1151400.0
2024-04-29,VLTO,94.89,1869000.0
2024-04-30,VLTO,93.68,1287900.0
2024-05-01,VLTO,94.38,1091900.0
2024-05-02,VLTO,93.85,1265900.0
2024-05-03,VLTO,95.89,939900.0
2024-05-06,VLTO,96.99,632600.0
2024-05-07,VLTO,97.27,1240900.0
2024-05-08,VLTO,96.73,1039000.0
2024-05-09,VLTO,95.94,1860600.0
2024-05-10,VLTO,96.5,1521600.0
2024-05-13,VLTO,95.87,1273800.0
2024-05-14,VLTO,96.94,1310900.0
2024-05-15,VLTO,98.9,1425500.0
2024-05-16,VLTO,98.45,1261200.0
2024-05-17,VLTO,98.6,1319400.0
2024-05-20,VLTO,98.62,1278000.0
2024-05-21,VLTO,99.53,882100.0
2024-05-22,VLTO,100.76,1207400.0
2024-05-23,VLTO,99.86,1175400.0
2024-05-24,VLTO,102.19,1867300.0
2024-05-28,VLTO,100.67,2062300.0
2024-05-29,VLTO,98.54,1613500.0
2024-05-30,VLTO,99.23,1786100.0
2024-05-31,VLTO,98.58,6836500.0
2024-06-03,VLTO,98.92,1350100.0
2024-06-04,VLTO,100.44,1233000.0
2024-06-05,VLTO,100.8,762000.0
2024-06-06,VLTO,99.31,1119700.0
2024-06-07,VLTO,99.22,1062000.0
2024-06-10,VLTO,99.85,943800.0
2024-06-11,VLTO,100.19,798200.0
2024-06-12,VLTO,101.13,833400.0
2024-06-13,VLTO,101.01,708900.0
2024-06-14,VLTO,100.75,918100.0
2024-06-17,VLTO,100.57,925200.0
2024-06-18,VLTO,101.22,999300.0
2024-06-20,VLTO,100.28,1734400.0
2024-06-21,VLTO,98.87,3261200.0
2024-06-24,VLTO,99.75,1377500.0
2024-06-25,VLTO,98.95,1196700.0
2024-06-26,VLTO,98.38,1441300.0
2024-06-27,VLTO,97.61,1353600.0
2024-06-28,VLTO,95.47,9333700.0
2024-07-01,VLTO,95.45,1486900.0
2024-07-02,VLTO,94.35,2085400.0
2024-07-03,VLTO,95.33,1198600.0
2024-07-05,VLTO,95.6,933100.0
2024-07-08,VLTO,95.9,1204800.0
2024-07-09,VLTO,95.7,838200.0
2024-07-10,VLTO,95.81,1132400.0
2024-07-11,VLTO,97.1,1976800.0
2024-07-12,VLTO,98.76,1052600.0
